Cluster,MCA1,MCA2
0,0.3784508725985909,-0.6338551508321454
2,-1.3152466609365208,0.7102488689703857
0,0.38627021435276054,-0.9018507412350302
0,-0.09307554013947444,-0.14983213773484275
1,1.7321596237224466,1.8477340265723357
0,0.9115827572141101,9.829209319444812e-05
0,0.8044425978323189,0.0019444674721213044
0,0.1630888309823344,-0.9089690079712762
1,1.7321596237224466,1.8477340265723357
0,0.2937844785312357,-0.23044331838913293
0,0.45017851128632647,-0.6472703046945327
0,-0.4283960843612232,-0.09037775126783806
0,0.40376922999816833,-0.8945583328032809
0,0.35162728671244586,-0.6171284051623169
2,-0.6659658489254042,-0.003936667504673586
0,0.38627021435276054,-0.9018507412350302
2,-1.3152466609365208,0.7102488689703857
1,1.7321596237224466,1.8477340265723357
0,0.35868892199693225,-0.9486118613984901
0,-0.20970195316880838,-0.1112203421848101
0,0.689176527215495,-0.4466030142431947
0,-0.5117518360378642,-0.11013830153824423
0,0.36356778943955687,-0.8680277529860824
0,0.06833236293480809,-0.7738372127919964
2,-1.3152466609365208,0.7102488689703857
0,0.30959901474251067,-0.8253411414379673
0,-0.21129226251734504,-0.41583199992468484
2,-1.3152466609365208,0.7102488689703857
2,-1.3152466609365208,0.7102488689703857
2,-1.3152466609365208,0.7102488689703857
0,-0.18839832965192757,-0.03730273673945386
2,-1.3152466609365208,0.7102488689703857
